temperature,energy1,energy2,energy3,energy4,energy5,capacity1,capacity2,capacity3,capacity4,capacity5,orderParm1,orderParm2,orderParm3,orderParm4,orderParm5,binderratio1,binderratio2,binderratio3,binderratio4,binderratio5,gsop,acpt_rat,avg_len,sizeOfSample,shuffle_timestep,mcstp,loop_timestep,mid_term,Energy_per_star,k_B,date,,,average_capacity
0.7,-0.316142747,-0.315631173,-0.315598765,-0.315971451,-0.315626543,0.119109283,0.116236199,0.114738826,0.13068153,0.118520559, (-0.07442438271604938+0.13365525085844193j), (-0.07394097222222223+0.1332229063860279j), (-0.07416975308641975+0.13330509861185005j), (-0.07416512345679013+0.13342003408210543j), (-0.07397839506172839+0.13330509861185008j),0.664436225,0.664320531,0.664430128,0.66385089,0.664288534, (-0.08333333333333333+0.14433756729740646j),0.140894444,6.172023457,36,5000,1296,5000,1,-1,1,05-20_03_13,,,0.11985728
0.75,-0.309155864,-0.308717593,-0.309143519,-0.308948302,-0.308816358,0.159833257,0.160159665,0.138789438,0.148849645,0.140335973, (-0.07023804012345679+0.12856534692277363j), (-0.07007137345679013+0.1283287936874807j), (-0.07032561728395062+0.12878118504424155j), (-0.07024884259259258+0.12864286154224816j), (-0.07011921296296296+0.12862816049372713j),0.662034672,0.662355377,0.662793333,0.662911423,0.662605844, (-0.08333333333333333+0.14433756729740646j),0.162119753,6.239223148,36,5000,1296,5000,1,-1,1,05-20_03_27,,,0.149593595
0.8,-0.301046296,-0.301081019,-0.300908179,-0.29870679,-0.298207562,0.168860513,0.176184654,0.172936525,0.231619676,0.179139505, (-0.0661766975308642+0.12281656872157186j), (-0.06568055555555556+0.12257466965045305j), (-0.06588657407407408+0.12280721350887668j), (-0.06910841049382717+0.004896117386981928j), (-0.07254282407407407-0.11366249309931643j),0.660422833,0.659816094,0.660077472,0.649134004,0.657403356, (-0.08333333333333333+0.14433756729740646j),0.167139198,6.452290123,36,5000,1296,5000,1,-1,1,05-20_03_40,,,0.185748174
0.85,-0.290408951,-0.290869599,-0.290707562,-0.289465278,-0.290994599,0.190160942,0.187538886,0.213825827,0.216693783,0.201486991, (-0.05948996913580247+0.11223983254016748j), (-0.05905902777777777+0.1141035245549474j), (-0.05942978395061728+0.11352016022045372j), (-0.0628371913580247+0.05395685744905732j), (-0.061181712962962966+0.10009609823231667j),0.652702375,0.65385207,0.652910985,0.642078568,0.65204598, (-0.08333333333333333+0.14433756729740646j),0.216243827,6.450670679,36,5000,1296,5000,1,-1,1,05-20_03_54,,,0.201941286
0.9,-0.280122685,-0.279510031,-0.277251543,-0.278283179,-0.28201466,0.238488301,0.234395457,0.217052351,0.233756263,0.185897652, (-0.053504629629629624+0.09313381529865151j), (-0.054845679012345674+0.08806329001785189j), (-0.05856983024691357-0.0425842599590825j), (-0.058542438271604935+0.013539665687870595j), (-0.05467168209876543+0.10610348124159301j),0.633888927,0.629873553,0.630454149,0.633724871,0.649783659, (-0.08333333333333333+0.14433756729740646j),0.239835185,6.639735494,36,5000,1296,5000,1,-1,1,05-20_04_07,,,0.221918005
0.95,-0.268744599,-0.267040123,-0.268631944,-0.268797068,-0.266597222,0.225702909,0.215046462,0.221161546,0.211234806,0.208070774, (-0.048086805555555556+0.07752464291670651j), (-0.04831211419753086+0.0464586544738527j), (-0.04538503086419753+0.06778653473047919j), (-0.04823341049382716+0.07222157377748328j), (-0.04905478395061728+0.028863504082611922j),0.609093192,0.596774516,0.606479102,0.605046104,0.602870609, (-0.08333333333333333+0.14433756729740646j),0.284998302,6.726059877,36,5000,1296,5000,1,-1,1,05-20_04_21,,,0.2162433
1,-0.258863426,-0.259505401,-0.260772377,-0.258611883,-0.25864429,0.170032277,0.178794166,0.185586018,0.167130462,0.191677308, (-0.037685185185185176+0.054740022397541395j), (-0.043741512345679016+0.052192731626533456j), (-0.043479938271604936+0.05222079726461907j), (-0.042821759259259254+0.045367435735905175j), (-0.042074074074074076+0.03377365428863665j),0.598118724,0.590352543,0.60118414,0.593941312,0.590738237, (-0.08333333333333333+0.14433756729740646j),0.31596142,6.829885185,36,5000,1296,5000,1,-1,1,05-20_04_35,,,0.178644046
1.05,-0.250088735,-0.251009259,-0.250138117,-0.251648148,-0.250375772,0.151038447,0.155804104,0.152035889,0.144763237,0.138012535, (-0.21958333333333332+0.187398274874466j), (-0.25943518518518516+0.2636806791911453j), (-0.2063958333333333+0.08918858845918906j), (-0.24059490740740738+0.16868651302510504j), (-0.24998842592592593+0.18951121648462527j),0.573844013,0.583897682,0.566832073,0.58339963,0.57921812, (-0.5+0.8660254037844387j),0.345940586,6.952570988,36,5000,1296,5000,1,-1,1,05-20_02_24,,,0.148330842
1.1,-0.245065586,-0.24361034,-0.244625772,-0.244092593,-0.245320988,0.125387062,0.124094505,0.127421803,0.134975809,0.123557484, (-0.20450925925925925+0.14750497502421064j), (-0.21236111111111114+0.061559972452343854j), (-0.2324328703703704+0.1519994864947771j), (-0.22243981481481478+0.1464224432694801j), (-0.21249074074074073+0.18172901598117347j),0.569045545,0.56054759,0.569732325,0.550677542,0.568316767, (-0.5+0.8660254037844387j),0.37191034,7.032266975,36,5000,1296,5000,1,-1,1,05-20_02_24,,,0.127087333
1.15,-0.239260031,-0.239022377,-0.238040895,-0.239527006,-0.239453704,0.119407944,0.111646404,0.104489019,0.107016891,0.09979333, (-0.20065046296296293+0.1863999400339923j), (-0.21512962962962962+0.20389285131506407j), (-0.19815972222222222+0.09812949887788952j), (-0.20603009259259256+0.20931753821932494j), (-0.21018518518518517+0.195882116330058j),0.556070553,0.572776477,0.552939475,0.572532434,0.570214107, (-0.5+0.8660254037844387j),0.399857716,7.079599691,36,5000,1296,5000,1,-1,1,05-20_02_24,,,0.108470718
