temperature,energy1,energy2,energy3,energy4,energy5,capacity1,capacity2,capacity3,capacity4,capacity5,orderParm1,orderParm2,orderParm3,orderParm4,orderParm5,binderratio1,binderratio2,binderratio3,binderratio4,binderratio5,gsop,acpt_rat,avg_len,sizeOfSample,shuffle_timestep,mcstp,loop_timestep,mid_term,Energy_per_star,k_B,date
1.02, -0.2549327256944445, -0.2554826388888889, -0.2540238715277778, -0.2556627604166667, -0.25544227430555555, 0.1773947849752025, 0.17251084652271229, 0.1639266510576921, 0.16625583000593747, 0.1556044145514375, (-0.22543359375+0.232651861013018j), (-0.24132161458333334+0.26361226919831166j), (-0.22959244791666664+0.13469175830785945j), (-0.23182682291666667+0.21671609147358875j), (-0.2304505208333333+0.30074085311108045j), 0.5939030555844433, 0.5846835802148908, 0.5855837669686415, 0.5980517033035763, 0.6086828641791111, (1+0j), 0.31762690972222224, 6.978555208333334, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.04, -0.2521501736111111, -0.25237934027777775, -0.2525776909722222, -0.25153689236111115, -0.25173263888888886, 0.15853245160207496, 0.15444971409385216, 0.16128902357556066, 0.15235928727948655, 0.14180699375413183, (-0.21002473958333331+0.2726920042911141j), (-0.223390625+0.2606375621472917j), (-0.218046875+0.27508033997498843j), (-0.22861197916666667+0.20627191531492792j), (-0.24063281250000002+0.18984449593689187j), 0.5944771939694629, 0.6016853605367615, 0.5938494051318502, 0.5874574810321715, 0.5937601232062569, (1+0j), 0.3308640625, 7.011725868055556, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.06, -0.24842664930555555, -0.24845095486111113, -0.24868185763888886, -0.24799392361111114, -0.24978949652777777, 0.151412334346327, 0.14687461333051421, 0.15732758752561224, 0.15052957723930216, 0.16790021370730177, (-0.19045312499999997+0.25869351553775477j), (-0.18451041666666665+0.24539190660150315j), (-0.19341015625+0.2345508021327745j), (-0.19827734375+0.15027119447802326j), (-0.19235416666666666+0.24773739207008597j), 0.5756138499534917, 0.5754630363223554, 0.570269641878158, 0.5603793604835634, 0.5826413776717089, (1+0j), 0.3445786458333333, 7.043506944444444, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.08, -0.24688194444444445, -0.24652604166666667, -0.24588845486111113, -0.24692968750000002, -0.24568098958333331, 0.13821542543055826, 0.14112748985483112, 0.13863409515924763, 0.1430120500756925, 0.13157568418912552, (-0.2084427083333333+0.21533811876079628j), (-0.23027604166666668+0.18978134825119927j), (-0.17450260416666666+0.18959641574309943j), (-0.20305859375+0.2345913970735769j), (-0.18835807291666667+0.17884101170495365j), 0.5866744885922539, 0.5781509316201756, 0.567922279196142, 0.5842485422447435, 0.5729413857686243, (1+0j), 0.3551493923611111, 7.0778359375, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.12, -0.24104644097222222, -0.24113194444444444, -0.24234635416666667, -0.24212890625, -0.2417443576388889, 0.10995094455019806, 0.11610498268318409, 0.12062818185543388, 0.1265485681373757, 0.11662163040262029, (-0.18202604166666667+0.16423810938853634j), (-0.20036197916666662+0.09646260044444793j), (-0.19107682291666667+0.24953484583783653j), (-0.19755989583333336+0.18851839453734695j), (-0.19319921875+0.1331762138512367j), 0.5661293689898688, 0.5875082511834916, 0.5730683477997299, 0.5711397936094009, 0.5863302392157309, (1+0j), 0.37498203125, 7.142358506944444, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.2, -0.23401649305555555, -0.23393706597222222, -0.23325086805555553, -0.23341319444444444, -0.23265321180555557, 0.09864177155671673, 0.09657628008054814, 0.09722038363232993, 0.10455166859567258, 0.08924874342929913, (-0.1643294270833333+0.1918900298984348j), (-0.15519270833333332+0.18031370594628499j), (-0.1419075520833333+0.13968944657553214j), (-0.15853776041666667+0.16403287941003536j), (-0.14646484375+0.13235078338825465j), 0.5647287474628557, 0.576779744466847, 0.5528556066447357, 0.5691988362055507, 0.570098834501336, (1+0j), 0.41505286458333335, 7.2344796875, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.3, -0.22466102430555557, -0.22521614583333335, -0.22539800347222222, -0.22501692708333332, -0.2250785590277778, 0.07896065473988258, 0.0809150014381892, 0.07857662285296865, 0.07248938789244358, 0.07883573692267348, (-0.10106119791666666+0.10615351492377537j), (-0.1371067708333333+0.11003935286836022j), (-0.12822526041666665+0.09695650555754375j), (-0.1359765625+0.11279078774496705j), (-0.11229947916666666+0.14037730529468384j), 0.5392604017764666, 0.5554381048628905, 0.5689874486086866, 0.5623286425043031, 0.5609866104350778, (1+0j), 0.4573125, 7.341813368055556, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.4, -0.21745442708333332, -0.21626605902777776, -0.21667925347222222, -0.21645963541666668, -0.2157808159722222, 0.0640972166861564, 0.059112428916880844, 0.05881044478989867, 0.05490235947242619, 0.06086657609658789, (-0.0746484375+0.10887112068304686j), (-0.053053385416666675+0.10411023623672146j), (-0.04603776041666666+0.09832320189789105j), (-0.03538671874999999+0.09932003322203878j), (-0.03714973958333333+0.08572072805323626j), 0.43230689803583167, 0.4392008172688763, 0.45013819213419415, 0.41363415080991395, 0.3829054349798139, (1+0j), 0.5000193576388889, 7.417916840277778, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
1.5, -0.21372829861111112, -0.2135746527777778, -0.21273654513888887, -0.2106076388888889, -0.21356770833333333, 0.057090875771600734, 0.05339549074073777, 0.05396141493055898, 0.04910694444444384, 0.051030941358021664, (-0.0968515625+0.11055355545185726j), (-0.11316796874999999+0.12522862655192324j), (-0.097453125+0.09561010668759763j), (-0.039151041666666664+0.08279112649199673j), (-0.09999869791666666+0.11539111923080937j), 0.5493143616934952, 0.5513986709599852, 0.5350636128017188, 0.4299296152933484, 0.5432836489760231, (1+0j), 0.5255417534722222, 7.499776215277778, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
1.6, -0.2086193576388889, -0.208078125, -0.20810503472222222, -0.20767100694444443, -0.20787586805555558, 0.050505357360844064, 0.04827173122830232, 0.04473594224717972, 0.049137594265408806, 0.047303786214186114, (-0.08376953125+0.11136770954239418j), (-0.07675781250000001+0.08812259538404467j), (-0.09153385416666666+0.10385087967048393j), (-0.08340104166666666+0.08664313531924625j), (-0.08979036458333332+0.09893663655890504j), 0.5239868140639696, 0.49588419985178744, 0.5279581109825042, 0.5225293418618906, 0.5332539085986003, (1+0j), 0.5529480034722222, 7.568466319444444, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
1.7, -0.20310503472222222, -0.20330555555555554, -0.20395442708333333, -0.20431467013888888, -0.20373697916666667, 0.03957520605055529, 0.042667625432529055, 0.04085884620698867, 0.042917976108951594, 0.03766909061418397, (-0.0456875+0.0830662699796574j), (-0.05529557291666666+0.08170182891379911j), (-0.08325130208333333+0.08691602353241791j), (-0.08037109375+0.09463808338282916j), (-0.0621484375+0.08523584403809654j), 0.3626015301524862, 0.45599504593183693, 0.5251211738501358, 0.5146892877618583, 0.4552358058696674, (1+0j), 0.5790964409722222, 7.625359722222222, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
1.8, -0.20063628472222222, -0.20085416666666667, -0.20057465277777778, -0.20062543402777777, -0.20015190972222222, 0.03441106770832983, 0.03700223122428407, 0.03489939986282252, 0.03652597187393256, 0.03677012334962511, (-0.05789973958333333+0.09061467369441394j), (-0.08854296875+0.08937878327442991j), (-0.06491406250000001+0.08636348128260753j), (-0.07136197916666666+0.08123949764354961j), (-0.05013671875+0.08179655044233804j), 0.5068950867128605, 0.5256904519145236, 0.49748241988021435, 0.49275829700242446, 0.4557009230474618, (1+0j), 0.6006947048611111, 7.6819515625, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
1.9, -0.1972560763888889, -0.19710807291666665, -0.19753645833333333, -0.19729296875, -0.19739800347222222, 0.02985119411742117, 0.03193629662492422, 0.032639685287778594, 0.030168420932406053, 0.03263828473664835, (-0.05467057291666667+0.08085835625490488j), (-0.05064192708333333+0.08022687939797873j), (-0.05871744791666667+0.07573437261584695j), (-0.07233463541666665+0.08386238187428216j), (-0.07356901041666666+0.08301439866640987j), 0.5004399474555516, 0.4375130180991176, 0.48978381450546393, 0.4985081960485491, 0.5169804165430543, (1+0j), 0.6208524305555555, 7.726163020833333, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
7.0, -0.15851605902777777, -0.1586662326388889, -0.15841449652777778, -0.15887413194444444, -0.15904210069444444, 0.0019119557734552318, 0.0019902167570152746, 0.001989006085246345, 0.0019834882015309077, 0.002000491700325963, (-0.015647135416666666+0.0346162081319983j), (-0.012041666666666668+0.03500186006962106j), (-0.013841145833333332+0.03415387686174879j), (-0.014546875+0.03639561970383664j), (-0.014427083333333333+0.03563784747552525j), 0.3661384891999282, 0.36800653603175015, 0.3729890141036768, 0.3792519741701358, 0.3867070949259228, (1+0j), 0.8955889756944444, 8.408624652777778, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
